SEX ,BT ,SPINFINE ,yWool ,yearlingAGE ,AdultAge   ,Dag  ,CCov ,BDWR ,Pregnancy ,BCS ,Weight  ,DryWt ,Rain ,Temp ,AdultWool
1,2,14.1,2.12,322,338,1,3,3,2,2,26.9,1.18,1.54,10.82,4.677
2,2,17.5,3.6,420,359,2,2,1,1,2.5,48.8,1.91,1.57,9.96,2.9
2,2,18.1,4.6,418,359,1,1,2,0,3,57.8,1.91,1.57,9.96,3.5
2,1,24.6,2.2,325,361,1,4,1,1,2.5,29.8,2.15,2.23,8.8,2.4
2,1,17.6,4.49,279,374,1,4,2,2,3,47.2,1.76,2.76,11.06,6.2
2,1,17.3,5.4,425,359,1,1,1,2,3,65,1.91,1.57,9.96,3.7
2,2,14.6,1.8,318,343,4,4,2,0,2.5,39.7,1.98,1.28,9.8,4.7
1,2,14.4,3.55,323,366,1,4,3,2,2,29.1,0.99,1.07,10.15,5.79
2,2,14.8,3.7,289,379,1,4,3,1,3,40,0.99,1.09,11.11,7.3
1,2,16.1,3.8,293,361,1,3,2,1,3.5,37.4,1.29,1.54,11.22,7.42
2,2,16.9,2.8,324,368,1,4,3,2,2.5,30,1.02,1.06,12.3,6.9
2,2,24.3,3.8,426,372,3,2,2,2,3,48.8,1.89,1.22,9.11,3.6
2,1,16.4,4.05,351,346,3,4,1,1,3.5,49.1,1.32,1.84,8.56,5.2
2,2,18.6,5.2,436,371,1,4,2,2,2.3,39.5,0.89,1.14,7.35,6.8
2,3,17.9,4,470,363,1,4,1,1,2.5,45,1.67,1.09,9.02,5
1,2,17.5,3.78,284,353,2,2,2,1,3,43,1.05,1.7,11.9,8.27
2,2,27.2,3.89,288,354,2,2,1,0,4,58,1.05,1.7,11.9,5.75
2,2,13.4,3.5,456,368,2,3,2,0,2.5,37.4,0.66,1.42,9.01,4.2
2,2,22.6,3.75,408,321,1,4,1,2,3.7,55.5,0.97,1.41,7.21,3.3
2,2,16.3,6.2,461,368,3,2,1,0,3.5,56.6,0.66,1.42,9.01,5.9
2,1,17,3.1,280,353,1,3,3,2,3.5,53.3,2.39,2.98,10.05,5.95
1,2,16.1,3.9,325,369,2,4,4,0,2.5,32.5,1.02,1.06,12.3,9.5
2,1,15,2.7,320,375,2,5,3,0,3.5,48.7,0.72,2.6,8.92,4.8
2,1,18,4.4,422,359,1,1,1,1,2.5,51.8,1.91,1.57,9.96,4.1
2,2,21.2,4.2,465,366,1,5,1,1,3.5,48,1.49,0.84,8.76,3.2
2,2,19.7,2.6,301,331,5,4,2,0,3,29.5,2.95,2.16,9.49,4.7
2,1,18,4.3,419,372,1,1,2,1,2.5,45,1.89,1.22,9.11,4.9
